"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 4:06:01 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación por gotas al toser y estornudar;Contacto con superfiicies infectadas","1976","Femenino"
"2020/04/28 4:10:33 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46026","Pobles del Sud","","","","","","","","","","","","","","","","","","","Pinedo","Universitario","1","Infectados","Radio;Periódicos digitales;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 4:20:44 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","4","Propagación por gotas al toser y estornudar","1973","Femenino"
"2020/04/28 4:22:17 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recomendaciones reales ","TV;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","4","4","Propagación por gotas al toser y estornudar","1971","Masculino"
"2020/04/28 4:28:27 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire","1964","Masculino"
"2020/04/28 4:29:08 p. m. EET","Comunidad Valenciana","Trabajo en Valencia y me desplazo también ahora de manera habitual","46007","Ciutat Vella","","","El Pilar","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Radio","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/04/28 4:43:49 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","Extramurs","El Botànic","","","","","","","","","","","","","","","","","","","","","","","","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","","1950","suficiente"
"2020/04/28 4:45:31 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46009","La Saïdia","","","","","Trinitat","","","","","","","","","","","","","","","Doctorado","5","si los investigadores de la upv notifican tratamientos de datos a su DPD","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","2","1","Propagación a través del aire","1950","DPD de la UPV"
"2020/04/28 4:59:12 p. m. EET","Comunidad Valenciana","Trabajo en Valencia y me desplazo también ahora de manera habitual","46026","Quatre Carreres","","","","","","","","","","Malilla","","","","","","","","","","Universitario","1","Fallecidos","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1982","Femenino"
"2020/04/28 5:06:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","Patraix","","","","","","","","Vara de Quart","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas adultas","En España se han dado aproximadamente 20.000 muertes","2","3","2","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 5:11:25 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46005","L'Eixample","","Gran Vía","","","","","","","","","","","","","","","","","","Universitario","5","Ingresados en la UCI","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 5:18:14 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","","3","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","1","Propagación por gotas al toser y estornudar","1973","Femenino"
"2020/04/28 5:28:17 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46015","Campanar","","","","Campanar","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","1962","Masculino"
"2020/04/28 5:43:42 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","","La Petxina","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Radio;Linkedin","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","2","3","3","Propagación por gotas al toser y estornudar","1965","Masculino"
"2020/04/28 5:44:43 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Amigos;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 5:46:03 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Formacion Profesional grado superior","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","3","2","1","Propagación por gotas al toser y estornudar","1978","Masculino"
"2020/04/28 6:03:56 p. m. EET","Comunidad Valenciana","Trabajo en Valencia y me desplazo también ahora de manera habitual","46920","","","Gran Vía","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Twitter","Personas adultas","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1980","Masculino"
"2020/04/28 6:09:53 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46009","La Saïdia","","","","","Marxalenes","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:16:35 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Favara","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV;Amigos;Instagram","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","2","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 6:16:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","Bases de datos nacionales e internacionales, y estudios científicos","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","5","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar;Propagación a través de insectos;Propagación a través de superficies, y actualmente se está estudiando la propagación a través de animales domésticos, sudor, y fuentes de consumo de agua corriente. ","2001","Femenino"
"2020/04/28 6:18:16 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Blogs de periodismo","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:19:16 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","3","Infectados","TV;Periódicos digitales;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1970","Femenino"
"2020/04/28 6:20:59 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Jesús","","","","","","","","","La Raiosa","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Periódicos digitales","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","3","4","5","Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 6:21:46 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46022","Camins al Grau","","","","","","","","","","","","Aiora","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Periódicos digitales;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:22:24 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Universitario","5","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","1996","Femenino"
"2020/04/28 6:23:25 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Educación Primaria","3","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1962","Masculino"
"2020/04/28 6:25:24 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:26:07 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Qué hacer para evitar el contagio","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1966","Femenino"
"2020/04/28 6:28:50 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Educación Secundaria Obligatoria","2","Infectados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","No lo sé","4","Propagación a través del aire","2001","Masculino"
"2020/04/28 6:29:25 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","4","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 6:29:28 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","2001","Femenino"
